Round,Disk_Percent,Time_Sec,Dirty_Segs,Free_Segs,GC_Events,Physical_MB
1,3,0,69,8060(8060),0,139
2,4,1,138,7991(7991),0,278
3,5,1,208,7921(7921),0,418
4,6,1,272,7852(7852),0,558
5,7,1,345,7782(7782),0,698
6,7,1,412,7713(7713),0,839
7,8,1,478,7643(7643),0,980
8,9,0,544,7574(7574),0,1120
9,10,1,604,7504(7504),0,1261
10,11,1,676,7434(7434),0,1403
11,11,1,745,7364(7364),0,1544
12,12,1,807,7296(7296),0,1685
13,13,1,868,7225(7225),0,1827
14,14,0,939,7156(7156),0,1968
15,15,0,1008,7086(7086),0,2110
16,15,1,1069,7018(7018),0,2252
17,16,1,1139,6947(6947),0,2393
18,17,1,1201,6877(6877),0,2535
19,18,0,1267,6808(6808),0,2677
20,19,0,1341,6740(6740),0,2819
21,19,1,1407,6670(6670),0,2961
22,20,1,1469,6600(6600),0,3103
23,21,1,1536,6531(6531),0,3246
24,22,1,1592,6461(6461),0,3388
25,23,1,1666,6390(6390),0,3530
26,23,1,1740,6320(6320),0,3672
27,24,0,1806,6250(6250),0,3815
28,25,0,1866,6182(6182),0,3957
29,26,1,1935,6112(6112),0,4100
30,26,1,1996,6042(6042),0,4242
31,27,1,2059,5973(5973),0,4385
32,28,1,2130,5902(5902),0,4527
33,29,1,2205,5832(5832),0,4670
34,30,1,2271,5763(5763),0,4812
35,30,0,2335,5693(5693),0,4955
36,31,0,2397,5625(5625),0,5097
37,32,1,2454,5554(5554),0,5240
38,33,1,2521,5483(5483),0,5383
39,34,1,2588,5416(5416),0,5526
40,34,1,2653,5347(5347),0,5668
41,35,1,2723,5276(5276),0,5811
42,36,0,2785,5206(5206),0,5954
43,37,0,2851,5138(5138),0,6097
44,38,1,2915,5066(5066),0,6240
45,38,1,2987,4995(4995),0,6382
46,39,1,3050,4925(4925),0,6525
47,40,1,3122,4858(4858),0,6668
48,41,1,3182,4786(4786),0,6811
49,42,1,3256,4719(4719),0,6954
50,42,0,3328,4649(4649),0,7097
51,43,1,3399,4580(4580),0,7240
52,44,1,3468,4510(4510),0,7383
53,45,1,3531,4439(4439),0,7526
54,46,1,3589,4370(4370),0,7669
55,46,1,3653,4301(4301),0,7812
56,47,1,3720,4231(4231),0,7956
57,48,1,3779,4163(4163),0,8099
58,49,1,3832,4094(4094),0,8242
59,50,0,3898,4023(4023),0,8385
60,50,1,3965,3952(3952),0,8528
61,51,1,4031,3882(3882),0,8671
62,52,1,4106,3814(3814),0,8814
63,53,1,4168,3743(3743),0,8958
64,54,1,4227,3673(3673),0,9101
65,54,1,4290,3603(3603),0,9244
66,55,1,4357,3534(3534),0,9387
67,56,0,4437,3464(3464),0,9531
68,57,1,4498,3393(3393),0,9674
69,58,1,4571,3324(3324),0,9817
70,58,1,4632,3258(3258),0,9961
71,59,1,4695,3186(3186),0,10104
72,60,1,4763,3115(3115),0,10247
73,61,1,4818,3046(3046),0,10391
74,62,1,4891,2977(2977),0,10534
75,62,0,4968,2909(2909),0,10677
76,63,1,5043,2838(2838),0,10821
77,64,1,5122,2769(2769),0,10964
78,65,1,5189,2700(2700),0,11108
79,66,1,5262,2628(2628),0,11251
80,66,1,5320,2558(2558),0,11394
81,67,0,5374,2487(2487),0,11538
82,68,1,5450,2416(2416),0,11681
83,69,0,5505,2348(2348),0,11825
84,70,0,5569,2280(2280),0,11968
85,70,1,5633,2211(2211),0,12112
86,71,1,5707,2142(2142),0,12256
87,72,1,5765,2071(2071),0,12399
88,73,1,5839,2002(2002),0,12543
89,74,1,5901,1933(1933),0,12686
90,74,1,5963,1861(1861),0,12830
91,75,1,6018,1794(1794),0,12974
92,76,0,6072,1724(1724),0,13117
93,77,0,6137,1653(1653),0,13261
94,78,1,6202,1582(1582),0,13404
95,78,1,6261,1514(1514),0,13548
96,79,0,6329,1444(1444),0,13692
97,80,1,6402,1373(1373),0,13836
98,81,1,6471,1304(1304),0,13979
99,82,1,6535,1236(1236),0,14123
100,82,1,6591,1167(1167),0,14267
101,83,1,6661,1096(1096),0,14410
102,84,0,6719,1027(1027),0,14554
103,85,1,6791,958(958),0,14698
104,86,1,6858,889(889),0,14842
105,86,1,6922,817(817),0,14985
106,87,1,6986,748(748),0,15129
107,88,1,7052,677(677),0,15273
108,89,1,7123,609(609),0,15417
109,90,1,7196,538(538),0,15561
110,90,3,7260,470(470),0,15705
111,91,5,7326,400(400),0,15848
112,92,12,7395,329(329),0,15992
113,93,20,7464,259(259),0,16136
114,94,23,7526,191(191),0,16280
115,94,88,7570,136(136),34,16425
